layer,unit,summary
layer4,2000,brown animals
layer2,108,"a whale diving in the ocean, a group of tall buildings, clothing, people in a group setting"
layer2,108,area where one object ends and another begins
layer2,108,part textured and part solid color
layer2,74,"balls, circles and fruit"
layer2,74,small red objects
layer2,74,similar patterns
layer4,445,"dogs, beaches, and food"
layer4,445,ocean shores
layer4,445,pictures of animal
layer4,304,jeans and animals
layer4,304,items that intersect other items
layer4,304,legs of people
layer4,1375,"punching bag, sink, pretzel"
layer4,1375,"rails, appliances and furniture"
layer4,1375,smooth surfaces
layer4,2019,"dog, shirt, crossword puzzle"
layer4,2019,"dogs, cups and crosswords"
layer4,2019,angles
layer1,73,"buttons on a remote, a dogs ears"
layer1,73,yellow and blue objects
layer1,73,devices with numbering as well as dogs
layer3,170,semi-circular regions that resemble eyes
layer3,170,"front of a trolley car, a bucket, a tire of an old car"
layer3,170,pink flowers and ears
layer4,89,circular and square objects
layer4,89,human hands
layer4,89,regions with squares
layer3,101,eyes and noses
layer3,101,dog eyes
layer3,101,"the eyes,  mouth or ears of dogs"
layer4,1017,animals and things that look like flowers
layer4,1017,people upside down
layer4,1017,each region has symmetry
layer4,1233,"left and right side of a shirt, a plastic bag, side of a jacket, back of a tractor"
layer4,1233,"shirts, dogs and vehicles"
layer4,1233,areas with a white color
layer4,1730,noses and objects that may resemble them
layer4,1730,"objects with holes, children and various animals and stuff animals"
layer4,1730,rounded items
layer2,284,"outlines or keys, grates and similar objects"
layer2,284,honeycomb patterns and grilles
layer2,284,"car, building, clothing"
layer3,420,chins and rounded objects
layer3,420,round and colorful objects
layer3,420,yellow areas in pictures
layer4,357,"food, animals and pillows"
layer4,357,white shaggy dogs
layer4,357,regions where two items are touching
layer4,604,"sticks, straws, water and feathers"
layer4,604,straw
layer4,604,rounded edges in pictures
layer4,1763,"a memorial sign, a spider in a web, a plunger on some gravel, a later"
layer4,1763,"ladders, animals and plaques"
layer4,1763,multiple items that are similar
layer4,1486,"a shovel on the gravel, person's shirt, handle of a bag, dog's snout"
layer4,1486,the regions have items with splits
layer4,1486,backgrounds in pictures
layer2,31,orange and yellow food items
layer2,31,pieces of yellow in them
layer2,31,"food, fruit, instrument"
layer3,127,repeating lines and edges of objects
layer3,127,horizontal lines
layer3,127,"person, food, animal, collar"
layer4,550,textured objects
layer4,550,brown animals
layer4,550,items with straight edges
layer4,1173,"water tower in the sky, a mannequin, round object in the sand, food, a water barrel"
layer4,1173,animals and cylindrical
layer4,1173,white objects
layer4,1385,"wooden surfaces, animals' plumage, animals fins, and a few animals' heads"
layer4,1385,"benches, animals, thorns and the ground"
layer4,1385,pictures of animal
layer2,319,spots of the color white on borders
layer2,319,"theright side of a dog, a dog eats something off a plate, aperson explore a wreck in the ocean, a scuba diver poses for a photo, a bird sits on a ledge, a person blows bubbles"
layer2,319,white boarders of legs and round edges
layer3,89,"pens, tools and woodwind instruments"
layer3,89,the bands on writing utensils or other items like that
layer3,89,stick like objects
layer4,48,animals
layer4,48,brown and black animals
layer4,48,animals in places
layer3,760,dog whiskers
layer3,760,dog mouths and necks
layer3,760,shaggy dogs
layer4,595,people and animals
layer4,595,animals and cassettes
layer4,595,snakes and brown animals
layer4,2037,"wine glass, glass, water, ball"
layer4,2037,long and slender objects
layer4,2037,"mailbox, logo, water, person"
layer4,1732,"a bird on a pole, theft of a wheel, a forest during winter, a brick restaurant with an american flag"
layer4,1732,textured areas
layer4,1732,where two items connect
layer2,414,toast with cheese or something on it
layer2,414,words and grids
layer2,414,a couple of lines in them
layer2,22,spots of the color white and borders
layer2,22,stripes and patterns
layer2,22,specific patterns
layer3,787,ears or the shiny areas of object
layer3,787,string instruments
layer3,787,"musical instrument, ears of animals"
layer4,361,people in snow and dogs
layer4,361,"animals, snowmobiles and trees"
layer4,361,dogs
layer4,1218,backgrounds of animals and everyday objects
layer4,1218,textured backgrounds
layer4,1218,white walls
layer4,1629,fur and vegetation
layer4,1629,very small animals are listed
layer4,1629,items that are connected
conv1,49,orange objects and creatures
conv1,49,nothing
conv1,49,nothing
layer3,238,two people wearing a dress
layer3,238,"steps, dresses, rocks"
layer3,238,hands or paws
layer2,240,small colorful balls
layer2,240,"plane, ball, building, sign, letters"
layer2,240,lighter areas
layer3,582,light reflections
layer3,582,ground
layer3,582,a gritty texture to them
layer4,630,"electronics, circular objects and dogs"
layer4,630,electronic devices
layer4,630,angles
layer4,923,"a hunter in the grass, airplane engine, a person lifting weights, a person walking down the street"
layer4,923,animals and vehicles
layer4,923,green trees and grass
layer4,1740,"women's shoulder, feet of a women, insect, man"
layer4,1740,have text
layer4,1740,rounded edges in pictures
layer2,20,"a fox in the wild, dogs laying in the grass, a church on the inside"
layer2,20,dogs
layer2,20,living things and non living things
layer2,60,spots of the color white
layer2,60,dots outlining nature and appliances
layer2,60,similar patterns
layer3,736,animals
layer3,736,dogs and other animals
layer3,736,"animal, insect"
layer4,785,"fences, dogs and bridges"
layer4,785,fur and lined objects
layer4,785,fencing
layer4,1438,animals and phones
layer4,1438,textured areas
layer4,1438,white animals
layer4,1423,"graphics on a  sign, food, baseball"
layer4,1423,"balls, animals, and food"
layer4,1423,items with patterns
layer3,346,the color blue and water
layer3,346,"a musical on stage, a sunken boat, a light up water bottle, a sea of fish"
layer3,346,blue light and aquatic life
layer3,974,repeating gray and silver lines
layer3,974,types metal objects
layer3,974,things made out of metal
layer4,237,"animals, circular objects and produce"
layer4,237,rounded objects and animals
layer4,237,rounded objects
layer3,733,the snow and flooring
layer3,733,shoes
layer3,733,parts of the ground
layer4,1563,legs of people and animals
layer4,1563,"animals, pants and boxes"
layer4,1563,"limbs, torsos, and pill bottles"
layer4,1663,marking of object which can be eaten
layer4,1663,green in them
layer4,1663,regions with curved items
layer1,80,"airplane with text on the side, a bird with a beak, a dog, tech on a lawn, legs runnig around"
layer1,80,part of areas that straddle  two colors
layer1,80,lighter areas
layer3,472,the spot where the sun is hitting different animals
layer3,472,fur on animals
layer3,472,dog noses
layer3,611,animal noses
layer3,611,noses of birds and animals
layer3,611,nose and mouth or beak of creatures
layer4,799,"animals, coastline and food"
layer4,799,textured areas
layer4,799,cliffs
layer4,901,"insect on a person, side of a table a dog is on, a apple, a light pole, a side of a bed, the floor of a room next to a dog, a bird next to water"
layer4,901,"poles, animals and furniture"
layer4,901,human hands
layer4,2039,"animals, beaches and the road"
layer4,2039,underneath objects
layer4,2039,"flat, sand covered ground"
layer3,338,the ears and horns of animals
layer3,338,ears of brown animals
layer3,338,ears and horns
layer3,997,faces of people
layer3,997,the nose and the mouth part of something's face
layer3,997,faces of things
layer4,247,animal heads and metal objects
layer4,247,faces of white dogs
layer4,247,"animals, lights, building"
layer3,740,animals and curved objects
layer3,740,wings of brown birds
layer3,740,similar color patterns
layer4,915,objects made up of multiple lines and fabric
layer4,915,animals and clothes
layer4,915,"person, animal, clothing"
layer4,1628,animals and people
layer4,1628,brown dogs
layer4,1628,"person, nature"
layer2,353,"a bird sits a top a branch, text on a object, items on a shelf, ballons in the sky"
layer2,353,"text, balloon, ball"
layer2,353,text and logos
layer1,172,spots of the color white
layer1,172,horizontal lines and dots
layer1,172,bits of white and yellow pieces
layer3,477,legs
layer3,477,pants
layer3,477,the legs of people standing in front of object
layer3,628,reptiles and hands
layer3,628,popsicles
layer3,628,"person, food, insect, power tools"
layer4,1156,"a bird on a pole, a object a girl is holding, a feather a boy is holding, a bowl a girl is sitting in, a boy is looking at something, a burst of water going through a hose, a bird walking on the grass"
layer4,1156,animals and poles
layer4,1156,smoke in the air
layer4,876,small furry animals
layer4,876,"animals, sticks and vases"
layer4,876,brown animals
layer4,1914,curved lines and edges
layer4,1914,"insect, dog, clothing"
layer4,1914,rounded edges in pictures
layer2,46,animals
layer2,46,the edges range from really soft to very hard
layer2,46,edges of objects
layer3,989,noses of animals
layer3,989,noses of different dogs
layer3,989,front of objects
layer4,479,animals
layer4,479,furry animals and fabric
layer4,479,furry animals
layer4,425,cylindrical objects
layer4,425,black objects that are rounded
layer4,425,"vegetables, spoon, mouse"
layer4,1125,"a person holding a gunn, a dog's snout, a can opener"
layer4,1125,metal objects
layer4,1125,"person, nature, boat"
layer4,1455,"dog in the field. rock cliff, person in the pool, meerkat"
layer4,1455,brown dogs
layer4,1455,items that are connected
layer3,355,hands and knees
layer3,355,human hands
layer3,355,parts of people
layer3,691,striped and poles
layer3,691,man made objects containing vertical lines
layer3,691,poles and bridges
layer3,675,"noses, columns and moisturizer"
layer3,675,faces of brown monkeys
layer3,675,"building, pencil, animal"
layer4,1427,thesea re objects with red or phones
layer4,1427,angles
layer4,1427,"mailbox, gas can, lawn mower"
layer4,1945,"a kid wearing sunglasses, a kid in a swing set, a bench in a sunroom"
layer4,1945,"people, vehicles, and benches"
layer4,1945,surfaces with lines or texture
conv1,55,text and images on a magazine
conv1,55,the thin yellow edge next to objects
conv1,55,lines that outline an object
layer2,112,brown dogs
layer2,112,many black lines in different patterns
layer2,112,lighter areas
layer3,79,mushrooms and spotted areas
layer3,79,mushroom caps
layer3,79,spots or a short line
layer4,241,black objects and birds
layer4,241,birds and black objects
layer4,241,tools and instruments and weapons
layer4,1144,animals
layer4,1144,shaggy dogs
layer4,1144,the front of items
layer4,1465,"a sign in the sand, an eraser, a pillow on a bed, a microphone"
layer4,1465,rectangular objects
layer4,1465,objects with straight lines
layer4,1737,animals and circular objects
layer4,1737,animals
layer4,1737,living things in them
conv1,62,"trim of a radio, top of seats, boarders of an animal"
conv1,62,lines of edges of borders of things
conv1,62,"label, washer, vehicle, animal"
layer1,101,spots of the color white
layer1,101,"a few divers in the water, a shark, two kids on a bike, a couple snakes"
layer1,101,spotted areas in pictures
layer3,541,windows and dots
layer3,541,older buildings
layer3,541,"bottle, building, plan, spider, window"
